Company,Date,Total Assets,Total Liabilities,Common Equity - Total,Total Current Assets,Total Current Liabilities,Inventories - Total,Net Cash Flow from Operating Activities,Net Income after Tax,Income Available to Common Shares,Gross Profit Margin - %,Revenue from Business Activities - Total
GPC.HNO,3/31/2022,NULL,NULL,NULL,NULL,NULL,NULL,-53417318163,1279060910,708000278,5.54682,1.33817E+11
GPC.HNO,6/30/2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GPC.HNO,9/30/2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1287940266,752623178,1.85396,1.91414E+11
GPC.HNO,12/31/2022,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
GPC.HNO,3/31/2023,6.34395E+11,33322477205,5.84149E+11,2.89901E+11,20497449766,13295640829,-13713173944,2153113625,1846838813,8.13807,48060868038
GPC.HNO,6/30/2023,6.40239E+11,38937572031,5.84231E+11,2.95862E+11,25412077931,26122489223,-11051695023,228756152,81619127,41.94735,1883303096
GPC.HNO,9/30/2023,6.30829E+11,32777749252,5.80814E+11,2.87963E+11,21000227844,24855693792,NULL,-3250024560,-3417113031,12.93728,6186963658
GPC.HNO,12/31/2023,6.36877E+11,45589473832,5.80565E+11,2.96144E+11,35286699177,18897819978,-8418999052,-13804102,-98051418,15.72501,33332403648
GPC.HNO,3/31/2024,6.43335E+11,48770527697,5.83719E+11,2.99987E+11,38994773701,22553978162,-9990218276,1206513829,1081825049,20.4533,10780815315
GPC.HNO,6/30/2024,7.58872E+11,1.62795E+11,5.85089E+11,4.75647E+11,1.51536E+11,24679604589,4076902462,4554501370,4413701169,14.77535,21745556953
GPC.HNO,9/30/2024,7.59292E+11,1.62354E+11,5.85835E+11,4.69309E+11,1.51095E+11,18895761380,-4564651150,861922993,746041248,27.80222,10542644584
GPC.HNO,12/31/2024,7.71273E+11,1.76788E+11,5.83962E+11,4.80948E+11,1.66653E+11,21107465518,-1.11041E+11,-1753839686,-1872814638,4.71139,37521345488
GPC.HNO,3/31/2025,7.46479E+11,1.50742E+11,5.85116E+11,4.56261E+11,1.40607E+11,20881782127,801781009,1494570706,1395274223,14.02785,30564805845
QST.HN,12/31/2021,78215350611,37790283344,40425067267,22462617997,37690283344,3973316802,11549859134,3246028076,3246028076,23.76336,28191308883
QST.HN,3/31/2022,80272895522,40577057412,39695838110,25407444117,37754999412,6594591237,-5684416838,-729061627,-729061627,10.30617,10602364939
QST.HN,6/30/2022,1.07117E+11,66930171559,40186914634,50149429325,62208510631,14676908894,8509946874,5495065790,5495065790,19.30886,57006901377
QST.HN,9/30/2022,1.20514E+11,81379062602,39135067810,63940637031,76657401674,16972322036,269112510,-1051846824,-1051846824,7.23199,48075957521
QST.HN,12/31/2022,85977981842,41764813768,44213168074,19723392107,37550416840,7642884306,11315129956,5078100264,4138487384,22.28518,45510574848
QST.HN,3/31/2023,89368184329,40684394958,48683789371,24069180863,34469998030,8058803344,-5505699573,4470621297,4470621297,33.92759,22689268521
QST.HN,6/30/2023,1.3252E+11,89550743620,42968894202,65373833698,85569346692,22511067394,963557669,1048987111,1048987111,11.95421,59761651389
QST.HN,9/30/2023,1.36339E+11,95380183853,40958501975,67195340311,89197160415,15500723782,10226245465,-2180968636,-2180968636,6.27887,56540637362
QST.HN,12/31/2023,93906456012,46842379257,47064076755,23754739371,44160322129,6574689208,2398221463,6105574780,5124448702,28.4328,46113204304
QST.HN,3/31/2024,92984695573,42844440165,50140255408,22429464285,38857533227,6588110574,-5739003210,3376178653,3376178653,30.73096,22560178826
QST.HN,6/30/2024,1.39482E+11,95140351683,44341850713,67260698539,91965891345,28321570199,8015947549,1362721383,1362721383,12.65051,62778835758
QST.HN,9/30/2024,1.57535E+11,1.15931E+11,41604512411,84507844198,1.12179E+11,17161216498,-5241714146,-2737338301,-2737338301,5.55556,63934927357
QST.HN,12/31/2024,1.11774E+11,62065923719,49708468046,38333062599,59769909981,6716488828,16339141387,8103955636,7098679767,28.77481,52809108991
QST.HN,3/31/2025,1.14335E+11,59463049200,54871684829,39904290435,53686768462,19077181843,-9100452040,5463216782,5463216782,37.83602,24545587971
BED.HN,12/31/2021,50921708187,10450205797,40471502390,27225292496,9916725797,14501984769,2015326860,3601859705,3421766720,40.74814,11387306818
BED.HN,3/31/2022,53781476742,12198971824,41582504918,30440960320,11637691824,18437653700,-540940129,1111002528,1111002528,42.90201,7552066117
BED.HN,6/30/2022,62781016702,27711835433,35069181269,39792816547,27005077433,24240067869,5030769304,-837431976,-851110504,20.11287,32888725658
BED.HN,9/30/2022,56519618707,17944758607,38574860100,33886016700,17139000607,21946598552,-3370971258,3505678831,3330394889,28.30078,32459210233
BED.HN,12/31/2022,49254587465,10208279136,39046308329,26980700183,9479930736,14305415144,2082239218,471448229,447875817,30.11437,11733873131
BED.HN,3/31/2023,50465290840,11027763867,39437526973,28424414870,10299415467,18808288898,-1703854496,391218644,391218644,44.07687,8605995181
BED.HN,6/30/2023,57091481546,19173278866,37918202680,35064088038,18585358466,20766533691,5694370140,2586658617,2586658617,22.05092,30889642827
BED.HN,9/30/2023,59294732055,17535489518,41759242537,37572370982,16958139518,16410447378,6758263085,3841039857,3841039857,28.37111,32154428623
BED.HN,12/31/2023,53702845954,10655475943,43047370011,32303703256,9912025943,13900769280,843105755,1288127474,988127474,39.87295,10803837804
BED.HN,3/31/2024,54737561032,11436516411,43301044621,33661985582,10745346411,15182089392,-2714138907,253674610,240990879,40.48636,8603283691
BED.HN,6/30/2024,62926653649,24751125412,38175528237,42085577201,24023017412,31743470724,-7120988219,1879835846,1773160323,20.05317,26532681972
BED.HN,9/30/2024,60386619706,19312805047,41073814659,39765554802,18492486763,18024610837,16728281793,2898286422,2753372101,24.16824,34879117935
BED.HN,12/31/2024,54259616136,10724712975,43534903161,34289136388,9862244575,14566278482,-1010783723,2461088502,2338034077,40.81432,9501599528
BED.HN,3/31/2025,56122572261,12186127997,43936444264,36285248390,11355059597,17328698334,-1635874384,401541103,381464048,42.82485,7729526666
STH.HNO,12/31/2021,2.4821E+11,48392224892,1.99817E+11,46878486558,13476939813,6778978725,-10416695771,199869464,199869464,33.35257,8066917107
STH.HNO,3/31/2022,2.72867E+11,73010257763,1.99856E+11,71819231094,34594972684,7009715339,-11784674346,38819749,38819749,35.26378,6114748498
STH.HNO,6/30/2022,2.73082E+11,72903686728,2.00179E+11,2.52709E+11,33086202779,8444724698,-8311173720,322308144,322308144,34.32048,5345494758
STH.HNO,9/30/2022,2.7179E+11,71039620077,2.00751E+11,2.11049E+11,71039620077,13422144937,-12642847010,606229948,606229948,34.48942,9551049573
STH.HNO,12/31/2022,2.62141E+11,66023803494,1.96118E+11,1.72941E+11,27663018415,9008385192,11404296814,-4633018669,-4633018669,12.68652,9102838678
STH.HNO,3/31/2023,3.07818E+11,81469664381,1.91709E+11,2.19312E+11,42667148863,10983223805,10810428608,51244237,51244237,57.25175,5563747195
STH.HNO,6/30/2023,2.14577E+11,14455147953,2.00122E+11,1.74778E+11,12173662874,12289533884,-19610766086,3952672613,3952672613,19.97037,7184340268
STH.HNO,9/30/2023,2.17049E+11,18033004778,1.99016E+11,1.77717E+11,12951519699,13925038213,-3626794747,-1105834190,-1105834190,40.24225,6070239731
STH.HNO,12/31/2023,2.11703E+11,13801868047,1.97901E+11,1.73382E+11,13736368047,13918360877,87057120,-1114203451,-1114203451,39.81554,6914500133
STH.HNO,3/31/2024,2.12139E+11,13766099902,1.98373E+11,1.7456E+11,13700599902,15344027680,2822783814,471178501,471178501,33.76206,4979884686
STH.HNO,6/30/2024,2.10924E+11,11886585943,1.99037E+11,1.70901E+11,11821085943,16706006196,-65439500,664467297,664467297,30.19394,4940089091
STH.HNO,9/30/2024,2.14078E+11,14479381300,1.99599E+11,1.7749E+11,14479381300,16875217085,362739925,561810891,561810891,25.66039,7934510710
STH.HNO,12/31/2024,2.13855E+11,14673139130,1.99181E+11,1.74351E+11,14587639130,16527643958,78803280,-417586478,-417586478,23.15571,9479626523
STH.HNO,3/31/2025,2.11278E+11,12061243761,1.99217E+11,1.72073E+11,11975743761,14389876494,3048522045,35330660,35330660,25.76938,7529176715
DST.HN,12/31/2021,3.73935E+11,13488800954,3.60437E+11,1.31227E+11,10169771547,891454862,22135823104,40446636130,40445758530,1.04498,19584049450
DST.HN,3/31/2022,4.07347E+11,35719550084,3.71618E+11,1.64662E+11,32447144212,2498329300,1946048098,11180662924,11180756705,10.24202,238946882
DST.HN,6/30/2022,4.03405E+11,19827602338,3.83568E+11,1.59651E+11,14719122338,10846040757,-3207396665,11949728566,11949815728,7.87729,7610556004
DST.HN,9/30/2022,4.40417E+11,49378991785,3.91029E+11,1.32309E+11,49378991785,36453655739,64621980947,7540163932,7540251094,13.06291,3857282896
DST.HN,12/31/2022,4.13008E+11,17349241699,3.95649E+11,27448215531,17349241699,2002703003,94409127088,1269381735,1268511213,3.98815,38132498422
DST.HN,3/31/2023,4.33995E+11,37907852905,3.96078E+11,43907755697,37636928155,1976283145,-1186198940,457184395,457713857,40.67595,49132063
DST.HN,6/30/2023,4.07633E+11,26209025101,3.81415E+11,41551541427,26209025101,16469633263,-16872806450,-14691790038,-14692076240,8.62678,8428643830
DST.HN,9/30/2023,6.00241E+11,2.11318E+11,3.88913E+11,2.34208E+11,2.11318E+11,38306281993,10912196488,7498216959,7498389911,8.12634,8995541055
DST.HN,12/31/2023,4.22473E+11,25334538754,3.97128E+11,56427409537,25319254936,4392993588,-156132049,8280353913,8279777210,3.04422,36204891000
DST.HN,3/31/2024,NULL,NULL,3.97166E+11,NULL,NULL,NULL,-7642363106,90435602,90435602,52.13117,223948500
DST.HN,6/30/2024,4.32131E+11,33268199034,3.98853E+11,66279920795,33252915216,16100031184,1115990198,1687394992,1687213632,2.46192,12648561337
DST.HN,9/30/2024,4.54737E+11,55677377890,3.9905E+11,89281561624,55662094072,39412379064,-960720742,196735024,196713987,2.93472,8772941155
DST.HN,12/31/2024,4.00543E+11,1529347574,3.99013E+11,4352647805,1529347574,NULL,40954848920,-145206714,-145339120,1.49584,39085896734
DST.HN,3/31/2025,4.00338E+11,1322642962,3.99016E+11,4151122393,1322642962,NULL,-12526384,2207979,2207979,NULL,0
PNC.HM,12/31/2021,5.11257E+11,3.59051E+11,1.52206E+11,4.64556E+11,3.54739E+11,2.54975E+11,1.08264E+11,5627026091,5627026091,35.97233,1.30736E+11
PNC.HM,3/31/2022,5.05716E+11,3.50357E+11,1.55359E+11,4.54521E+11,3.4493E+11,2.48235E+11,12436134453,3227256327,3227256327,40.86628,1.36258E+11
PNC.HM,6/30/2022,5.30617E+11,3.71704E+11,1.58913E+11,4.89529E+11,3.67366E+11,2.66098E+11,13182770513,3479806461,3479806461,34.70586,1.80292E+11
PNC.HM,9/30/2022,5.7989E+11,4.10307E+11,1.69583E+11,5.42812E+11,4.04965E+11,2.68541E+11,48778626482,10669416547,10669416547,40.97373,2.01951E+11
PNC.HM,12/31/2022,5.37823E+11,3.72359E+11,1.65464E+11,5.04565E+11,3.68163E+11,2.71425E+11,-32390900348,-4118981384,-4118981384,29.19136,1.92099E+11
PNC.HM,3/31/2023,5.71795E+11,4.02789E+11,1.69007E+11,5.32198E+11,3.98015E+11,2.79264E+11,20715478755,3543102663,3543102663,39.63956,1.69723E+11
PNC.HM,6/30/2023,5.59307E+11,3.84228E+11,1.7508E+11,5.25146E+11,3.80109E+11,2.83141E+11,-3627027561,6072753807,6072753807,37.19514,1.58976E+11
PNC.HM,9/30/2023,5.76579E+11,3.94566E+11,1.82013E+11,5.36697E+11,3.90385E+11,2.72089E+11,4721069907,6933458841,6933458841,35.9207,1.85099E+11
PNC.HM,12/31/2023,5.27722E+11,3.45478E+11,1.82244E+11,4.94537E+11,3.44716E+11,2.47564E+11,5155929398,230585082,230585082,43.86563,1.39532E+11
PNC.HM,3/31/2024,5.4987E+11,3.65214E+11,1.84656E+11,5.03639E+11,3.63622E+11,2.56889E+11,7990285539,2411839520,2411839520,42.10056,1.34635E+11
PNC.HM,6/30/2024,5.63557E+11,3.78557E+11,1.85E+11,5.15491E+11,3.77256E+11,2.92082E+11,-17417865234,344040347,344040347,39.08202,1.40726E+11
PNC.HM,9/30/2024,6.09554E+11,4.20434E+11,1.8912E+11,5.48679E+11,4.19084E+11,3.06449E+11,32750259400,4119988293,4119988293,38.69019,1.82094E+11
PNC.HM,12/31/2024,5.70849E+11,3.83792E+11,1.87058E+11,5.18255E+11,3.82549E+11,2.93299E+11,-13353078359,3337664440,3337664440,42.57563,1.57021E+11
PNC.HM,3/31/2025,5.76481E+11,3.86933E+11,1.89548E+11,5.12861E+11,3.85641E+11,2.87125E+11,9374577424,2490806956,2490806956,38.82484,1.46333E+11
BSC.HN,12/31/2021,40528458192,2871558518,37656899674,36255288333,2431558518,0,596965142,344067373,326887990,64.8714,1366877274
BSC.HN,3/31/2022,40487187961,2527299997,37959887964,36570418649,2087299997,0,1110595555,302988290,302988290,74.94267,1757909092
BSC.HN,6/30/2022,39723797820,2714931161,37008866659,36237581420,2274931161,0,143544483,624352195,624352195,61.78944,2236174692
BSC.HN,9/30/2022,40534092715,3213913105,37320179610,37260175285,2773913105,0,671913206,311312951,311312951,73.9566,1767542669
BSC.HN,12/31/2022,40695431734,2743340432,37952091302,29049067220,2203340432,0,1880744301,631911692,351326922,69.079,1626759089
BSC.HN,3/31/2023,41216662267,2644437830,38572224437,29590596724,2104437830,0,113179777,620133135,620133135,80.73305,1859242546
BSC.HN,6/30/2023,42928328631,5417829929,37510498702,30178107514,4877829929,0,2559043260,794232535,582077684,68.03394,1888777160
BSC.HN,9/30/2023,41900662684,3801939679,38098723005,29540947020,3261939679,0,-139652599,588224303,588224303,75.08082,1881667638
BSC.HN,12/31/2023,41792052614,3030682012,38761370602,29919569233,2467682012,0,1459068526,662647597,369647597,62.80156,2076726198
BSC.HN,3/31/2024,42160179015,3132841246,39027337769,23246279972,2545841246,0,1038456128,558967167,558967167,54.36381,2535252638
BSC.HN,6/30/2024,43427901052,3797850950,39630050102,25147717971,3210850950,554119000,1078269531,602712333,474927588,61.67532,2355356638
BSC.HN,9/30/2024,44090111720,3971266468,40118845252,26338909723,3384266468,17574000,1383414177,488795150,488795150,48.40617,3275356604
BSC.HN,12/31/2024,43384210473,2754607519,40629602954,25845072463,2167607519,0,-185178818,510757702,379542447,51.86336,2984593513
BSC.HN,3/31/2025,44485509268,6668136165,37817373103,27099780248,6104136165,217686000,2644798158,597865032,597865032,50.9673,2804626842
BDB.HN,12/31/2021,24525352692,10431557740,14093794952,20203635614,10341557740,12441214874,2312982478,847568518,698099247,20.14023,18900662453
BDB.HN,3/31/2022,21735981749,7579894176,14156087573,17481344944,7489894176,10311392688,-2300496778,62292621,62292621,11.66534,6420782392
BDB.HN,6/30/2022,53048873746,39591977839,13456895907,48912213029,39501977839,25882931520,10550403442,663303382,503672261,9.42803,32049728693
BDB.HN,9/30/2022,48943850354,35216283859,13727566495,44249091560,35060283859,29991877597,-18801948379,270670588,430301709,9.91374,17731366833
BDB.HN,12/31/2022,21350159875,7224047237,14126112638,16729037540,7134047237,13456283652,6933500428,398546143,91687342,10.5008,18631295109
BDB.HN,3/31/2023,27425275840,14569739245,12855536595,22917827543,14479739245,16865663600,-490696828,54496054,54496054,11.6384,6269516709
BDB.HN,6/30/2023,36244739481,22978377809,13266361672,31741378058,22888377809,20828255197,3923378117,410825077,378252598,8.87078,25108051345
BDB.HN,9/30/2023,32811626867,19217084438,13594542429,28374336741,19127084438,20229151417,-1349215726,328180757,328180757,9.55895,20176383004
